AMONG ADULT MEN,,Adult Men,Age,,,Race,,Children,,Sexual Orientation,
,,,18 - 34,35 - 64,65 and up,White,Non-white,Has children,No children,Straight,Gay/Bisexual
"In general, how masculine or ""manly"" do you feel?",,,,,,,,,,,
,Very masculine,37%,29%,42%,37%,34%,44%,43%,30%,40%,21%
,Somewhat masculine,46%,47%,46%,47%,50%,39%,47%,46%,47%,49%
,Not very masculine,11%,13%,9%,13%,11%,11%,6%,17%,10%,19%
,Not at all masculine,5%,10%,2%,3%,4%,6%,3%,6%,3%,10%
,No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
How important is it to you that others see you as masculine?,,,,,,,,,,,
,Very important,16%,18%,17%,13%,11%,26%,17%,15%,16%,11%
,Somewhat important,37%,38%,37%,32%,38%,35%,37%,37%,38%,33%
,Not too important,28%,18%,31%,37%,32%,20%,29%,27%,29%,36%
,Not at all important,18%,26%,15%,18%,18%,19%,17%,21%,17%,19%
,No answer,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.),,,,,,,,,,,
,Father or father figure(s),64%,58%,66%,64%,65%,60%,67%,60%,65%,59%
,Mother or mother figure(s),41%,42%,41%,42%,42%,40%,43%,39%,41%,40%
,Friends,35%,42%,33%,31%,35%,36%,31%,40%,34%,43%
,Other family members,35%,37%,36%,31%,34%,37%,36%,34%,35%,37%
,Pop culture,23%,42%,17%,12%,21%,29%,13%,35%,20%,44%
,Other (please specify),17%,11%,18%,21%,18%,13%,20%,12%,18%,10%
Do you think that society puts pressure on men in a way that is unhealthy or bad for them?,,,,,,,,,,,
,Yes,60%,70%,57%,53%,58%,65%,56%,66%,58%,81%
,No,39%,29%,42%,47%,41%,35%,44%,34%,41%,19%
,No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
Ask a friend for professional advice,,,,,,,,,,,
,Often,15%,26%,12%,5%,11%,23%,12%,18%,14%,26%
,Sometimes,42%,36%,46%,40%,43%,39%,44%,40%,42%,43%
,Rarely,23%,13%,25%,35%,28%,14%,26%,20%,25%,14%
,"Never, but open to it",12%,15%,11%,12%,12%,12%,9%,16%,12%,12%
,"Never, and not open to it",7%,9%,5%,6%,5%,10%,7%,6%,7%,4%
,No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
Ask a friend for personal advice,,,,,,,,,,,
,Often,14%,22%,12%,5%,11%,18%,11%,17%,11%,29%
,Sometimes,41%,39%,45%,36%,43%,39%,43%,39%,43%,37%
,Rarely,27%,17%,28%,39%,29%,22%,31%,23%,29%,20%
,"Never, but open to it",10%,11%,9%,10%,10%,9%,8%,12%,9%,11%
,"Never, and not open to it",7%,9%,5%,7%,5%,10%,6%,8%,6%,2%
,No answer,1%,2%,1%,3%,1%,1%,1%,2%,1%,0%
"Express physical affection to male friends, like hugging, rubbing shoulders",,,,,,,,,,,
,Often,14%,21%,11%,11%,12%,17%,11%,17%,10%,44%
,Sometimes,28%,25%,31%,25%,29%,27%,29%,27%,29%,23%
,Rarely,25%,19%,28%,30%,27%,21%,27%,23%,27%,20%
,"Never, but open to it",10%,14%,7%,9%,9%,11%,8%,11%,9%,11%
,"Never, and not open to it",22%,21%,23%,23%,22%,23%,24%,20%,25%,2%
,No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
Cry,,,,,,,,,,,
,Often,7%,13%,5%,3%,6%,10%,3%,12%,4%,26%
,Sometimes,33%,35%,33%,30%,33%,32%,32%,33%,30%,48%
,Rarely,38%,30%,42%,41%,41%,32%,42%,34%,41%,23%
,"Never, but open to it",10%,8%,10%,12%,11%,8%,11%,8%,11%,2%
,"Never, and not open to it",9%,14%,6%,6%,6%,15%,7%,10%,10%,1%
,No answer,4%,0%,4%,9%,4%,3%,5%,3%,5%,1%
Get in a physical fight with another person,,,,,,,,,,,
,Often,2%,5%,1%,0%,0%,5%,1%,3%,2%,5%
,Sometimes,5%,10%,2%,5%,5%,5%,4%,6%,4%,4%
,Rarely,23%,22%,26%,17%,22%,25%,24%,21%,25%,14%
,"Never, but open to it",19%,19%,21%,14%,20%,17%,21%,17%,19%,16%
,"Never, and not open to it",50%,43%,50%,64%,52%,47%,49%,52%,50%,61%
,No answer,1%,2%,1%,1%,0%,3%,0%,2%,1%,0%
"Have sexual relations with women, including anything from kissing to sex",,,,,,,,,,,
,Often,37%,41%,39%,28%,39%,34%,45%,29%,42%,12%
,Sometimes,26%,11%,31%,34%,25%,27%,27%,24%,28%,6%
,Rarely,13%,14%,12%,16%,14%,12%,12%,14%,13%,8%
,"Never, but open to it",10%,19%,6%,9%,9%,13%,7%,15%,8%,25%
,"Never, and not open to it",11%,16%,10%,9%,11%,13%,7%,17%,6%,47%
,No answer,2%,0%,2%,4%,2%,2%,2%,1%,2%,2%
"Have sexual relations with men, including anything from kissing to sex",,,,,,,,,,,
,Often,5%,10%,4%,1%,4%,8%,1%,9%,0%,41%
,Sometimes,4%,6%,4%,2%,3%,7%,2%,7%,2%,21%
,Rarely,3%,6%,2%,1%,4%,2%,1%,6%,2%,18%
,"Never, but open to it",6%,12%,3%,6%,5%,8%,4%,9%,3%,17%
,"Never, and not open to it",80%,65%,86%,86%,83%,74%,91%,68%,92%,2%
,No answer,1%,0%,1%,4%,1%,1%,1%,1%,1%,1%
Watch sports of any kind,,,,,,,,,,,
,Often,38%,29%,41%,44%,38%,38%,44%,32%,42%,19%
,Sometimes,25%,19%,28%,28%,25%,24%,26%,23%,28%,10%
,Rarely,18%,24%,16%,15%,18%,18%,14%,22%,14%,41%
,"Never, but open to it",5%,7%,4%,6%,6%,5%,6%,5%,5%,7%
,"Never, and not open to it",13%,20%,11%,7%,12%,14%,9%,17%,10%,23%
,No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
Work out,,,,,,,,,,,
,Often,21%,30%,16%,20%,19%,25%,17%,26%,21%,24%
,Sometimes,32%,31%,36%,24%,31%,36%,34%,30%,34%,23%
,Rarely,28%,25%,28%,29%,28%,26%,29%,26%,27%,33%
,"Never, but open to it",10%,7%,12%,9%,12%,6%,11%,9%,9%,10%
,"Never, and not open to it",7%,7%,5%,13%,8%,5%,7%,7%,6%,8%
,No answer,2%,0%,2%,6%,2%,2%,3%,1%,2%,1%
See a therapist,,,,,,,,,,,
,Often,5%,9%,4%,1%,4%,5%,4%,6%,4%,12%
,Sometimes,9%,10%,9%,8%,9%,9%,8%,10%,8%,9%
,Rarely,15%,11%,17%,14%,15%,14%,17%,13%,15%,22%
,"Never, but open to it",37%,35%,39%,35%,38%,34%,38%,35%,38%,36%
,"Never, and not open to it",32%,36%,28%,38%,31%,34%,31%,34%,33%,22%
,No answer,2%,0%,3%,4%,2%,3%,2%,2%,2%,0%
Feel lonely or isolated,,,,,,,,,,,
,Often,17%,24%,17%,7%,17%,18%,11%,24%,14%,32%
,Sometimes,29%,32%,31%,20%,28%,33%,28%,31%,30%,30%
,Rarely,31%,26%,30%,43%,36%,21%,35%,27%,32%,28%
,"Never, but open to it",5%,3%,6%,6%,4%,7%,6%,4%,5%,3%
,"Never, and not open to it",15%,15%,14%,21%,14%,18%,17%,13%,17%,5%
,No answer,2%,0%,3%,2%,1%,3%,3%,1%,2%,2%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),,,,,,,,,,,
,Your weight,54%,45%,59%,53%,53%,56%,54%,55%,54%,64%
,"Your finances, including your current or future income, assets, or debt",53%,53%,60%,34%,54%,51%,52%,55%,51%,74%
,Your physical health,49%,42%,52%,54%,53%,43%,49%,50%,50%,52%
,Your physique,33%,40%,34%,23%,35%,31%,28%,40%,31%,58%
,"Your ability to provide for your family, current or anticipated",32%,33%,39%,13%,31%,35%,38%,26%,34%,25%
,Your mental health,32%,45%,30%,17%,33%,30%,25%,40%,31%,42%
,Sexual performance or amount of sex,23%,24%,26%,16%,23%,25%,24%,23%,21%,35%
,Your hair or hairline,19%,33%,16%,7%,17%,23%,13%,26%,18%,24%
,Your clothing or style,18%,31%,15%,9%,15%,26%,12%,26%,16%,40%
,Appearance of your genitalia,13%,17%,13%,6%,13%,12%,10%,16%,11%,23%
,Your height,6%,12%,4%,1%,4%,10%,4%,9%,5%,12%
,None of the above,13%,10%,12%,19%,14%,10%,13%,12%,13%,9%
Which of the following categories best describes your employment status?,,,,,,,,,,,
,"Employed, working full-time",48%,40%,64%,17%,45%,54%,56%,39%,51%,37%
,"Employed, working part-time",10%,14%,8%,9%,10%,10%,5%,14%,10%,11%
,"Not employed, student",6%,18%,1%,0%,5%,9%,1%,11%,4%,18%
,Not employed-retired,19%,4%,11%,65%,24%,9%,25%,12%,20%,11%
,"Not employed, looking for work",9%,19%,7%,1%,7%,13%,7%,12%,9%,13%
,"Not employed, NOT looking for work",8%,5%,9%,8%,9%,5%,5%,10%,7%,10%
,No answer,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).,,,,,,,,,,,
,Men are taken more seriously,23%,,16%,27%,20%,27%,20%,27%,21%,
,Men make more money,18%,,15%,19%,16%,22%,15%,22%,17%,
,Men have more choice,16%,,12%,21%,13%,20%,14%,18%,15%,
,Men have more promotion/professional development opportunities,14%,,11%,19%,16%,11%,13%,17%,13%,
,Men generally have more support from their managers,11%,,8%,18%,10%,12%,10%,12%,10%,
,Men are explicitly praised more often,8%,,5%,6%,8%,7%,5%,11%,7%,
,Other (please specify),7%,,7%,7%,10%,1%,8%,5%,7%,
,None of the above,59%,,68%,50%,61%,57%,63%,55%,61%,
AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.),,,,,,,,,,,
,Managers want to hire and promote women,18%,,15%,18%,17%,21%,20%,17%,19%,
,Greater risk of being accused of sexual harassment,42%,,43%,43%,43%,41%,44%,40%,43%,
,Greater risk of being accused of being sexist or racist,38%,,40%,33%,40%,35%,37%,38%,37%,
,Other (please specify),5%,,6%,4%,6%,3%,4%,6%,5%,
,None of the above,42%,,43%,45%,43%,41%,43%,42%,43%,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",,,,,,,,,,,
,Contacted the HR department,8%,,7%,10%,7%,11%,9%,7%,8%,
,Did not respond at all,8%,,7%,1%,5%,14%,5%,12%,7%,
,Reached out to the victim to offer support,7%,,7%,9%,9%,5%,9%,6%,7%,
,Contacted the manager of the accused person,7%,,5%,4%,6%,7%,6%,7%,7%,
,Confronted the accused person,5%,,5%,5%,4%,5%,6%,3%,5%,
,Other (please specify),3%,,4%,3%,4%,1%,1%,6%,3%,
,Never witnessed sexual harassment,75%,,76%,81%,76%,73%,79%,69%,76%,
AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?,,,,,,,,,,,
,You didn't want to get involved,,,,,,,,,,
,You weren't sure it was sexual harassment,,,,,,,,,,
,You didn't think it was your place,,,,,,,,,,
,You weren't sure who to contact,,,,,,,,,,
,Other (please specify),,,,,,,,,,
,No answer,,,,,,,,,,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,,,,,,,,,,,
,A lot,42%,,41%,39%,42%,40%,37%,48%,41%,
,Some,24%,,24%,27%,26%,19%,23%,24%,24%,
,Only a little,11%,,11%,18%,10%,13%,11%,10%,11%,
,Nothing at all,24%,,23%,16%,22%,28%,29%,18%,25%,
,No answer,0%,,0%,0%,0%,0%,0%,0%,0%,
"AMONG EMPLOYED WHO'VE HEARD OF METOO: As a man, would you say you think about your behavior at work differently in the wake of #MeToo?",,,,,,,,,,,
,Yes,34%,,32%,23%,33%,37%,27%,42%,33%,
,No,65%,,67%,77%,66%,62%,71%,57%,66%,
,No answer,1%,,1%,0%,1%,1%,1%,1%,1%,
Do you typically feel as though you're expected to make the first move in romantic relationships?,,,,,,,,,,,
,Yes,61%,62%,63%,54%,63%,57%,60%,62%,63%,50%
,No,38%,38%,35%,44%,36%,42%,38%,37%,36%,49%
,No answer,1%,1%,1%,2%,2%,1%,2%,1%,1%,1%
How often do you try to be the one who pays when on a date?,,,,,,,,,,,
,Always,49%,36%,55%,53%,52%,43%,58%,39%,54%,16%
,Often,25%,22%,26%,27%,25%,25%,23%,28%,26%,28%
,Sometimes,16%,24%,13%,10%,13%,22%,12%,20%,12%,43%
,Rarely,2%,3%,1%,2%,1%,3%,1%,3%,1%,5%
,Never,7%,12%,4%,5%,7%,7%,5%,9%,6%,6%
,No answer,2%,2%,1%,3%,2%,1%,1%,2%,1%,0%
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,,,,,,,,,,,
,It's the right thing to do,66%,,68%,69%,66%,65%,70%,60%,67%,
,"You asked the person out, so you feel obligated to pay",49%,,49%,52%,49%,49%,47%,51%,48%,
,You feel good about being the one who pays,39%,,39%,34%,36%,46%,39%,40%,39%,
,"Societal expectations, even though you don?t always think you should have to pay",27%,,26%,22%,27%,27%,23%,33%,27%,
,You make more money than your date,11%,,9%,14%,11%,12%,10%,13%,11%,
,You try to pay to see if the other person will offer to share in the cost,7%,,7%,7%,4%,13%,4%,10%,6%,
,Other (please specify),7%,,8%,8%,9%,3%,8%,7%,7%,
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",,,,,,,,,,,
,Every situation is different,59%,54%,64%,55%,61%,57%,61%,58%,60%,63%
,Read their physical body language to see if they are interested,46%,46%,48%,38%,46%,45%,46%,45%,46%,51%
,It isn?t always clear how to gauge someone?s interest,35%,37%,35%,32%,36%,32%,32%,39%,34%,40%
,Ask for a verbal confirmation of consent,31%,43%,30%,15%,29%,36%,26%,37%,31%,31%
,Make a physical move to see how they react,29%,34%,27%,29%,27%,34%,29%,30%,31%,27%
,Other (please specify),7%,6%,7%,11%,8%,5%,8%,7%,8%,8%
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",,,,,,,,,,,
,Wondered whether you pushed a partner too far in a past sexual encounter.,10%,15%,9%,5%,8%,13%,8%,12%,9%,17%
,Talked with a friend or friends about whether you pushed a partner too far.,5%,9%,3%,2%,2%,9%,5%,4%,4%,4%
,Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.,3%,7%,2%,0%,1%,7%,3%,3%,3%,7%
,None of the above,85%,76%,87%,91%,89%,77%,86%,83%,87%,79%
Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,,,,,,,,,,,
,Yes,13%,23%,9%,7%,9%,20%,9%,16%,12%,18%
,No,86%,77%,90%,91%,90%,79%,89%,83%,87%,82%
,No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
"Are you now married, widowed, divorced, separated, or have you never been married?",,,,,,,,,,,
,Married,46%,15%,55%,67%,50%,37%,66%,22%,51%,16%
,Widowed,3%,0%,2%,13%,4%,2%,4%,2%,3%,4%
,Divorced,13%,7%,17%,9%,13%,13%,19%,6%,13%,8%
,Separated,2%,0%,2%,3%,2%,2%,3%,1%,2%,0%
,Never married,36%,77%,23%,9%,31%,46%,7%,69%,30%,72%
,No answer,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Do you have any children? (Select all that apply.),,,,,,,,,,,
,"Yes, one or more children under 18",21%,21%,28%,5%,17%,31%,40%,0%,24%,8%
,"Yes, one or more children 18 or older",37%,6%,42%,70%,41%,28%,69%,0%,41%,7%
,No children,46%,74%,38%,27%,46%,47%,0%,100%,40%,86%
Would you describe your sexual orientation as:,,,,,,,,,,,
,Straight,84%,73%,88%,93%,85%,82%,95%,72%,100%,0%
,Gay,8%,12%,7%,3%,7%,9%,2%,15%,0%,72%
,Bisexual,3%,6%,2%,1%,3%,3%,1%,5%,0%,28%
,Other,3%,5%,3%,1%,3%,3%,1%,6%,0%,0%
,No answer,2%,4%,1%,1%,1%,2%,1%,2%,0%,0%
Are you:,,,,,,,,,,,
,White,67%,52%,67%,89%,100%,0%,68%,66%,68%,62%
,Black,11%,19%,9%,2%,0%,33%,10%,11%,11%,10%
,Hispanic,14%,16%,17%,5%,0%,43%,14%,15%,14%,18%
,Asian,3%,6%,2%,0%,0%,9%,2%,4%,2%,4%
,Other,5%,7%,5%,3%,0%,16%,6%,4%,5%,6%
What is the last grade of school you completed?,,,,,,,,,,,
,Did not complete high school,4%,3%,4%,5%,4%,5%,6%,2%,4%,0%
,High school or G.E.D.,36%,46%,35%,23%,35%,39%,32%,40%,36%,27%
,Associate's degree,9%,5%,12%,9%,10%,9%,11%,8%,10%,5%
,Some college,21%,21%,21%,22%,21%,23%,21%,22%,20%,31%
,College graduate,27%,25%,25%,35%,29%,23%,27%,27%,27%,35%
,Post graduate degree,2%,1%,2%,6%,3%,2%,3%,1%,2%,2%
age3,,,,,,,,,,,
,18 - 34,29%,100%,0%,0%,23%,42%,14%,47%,25%,50%
,35 - 64,52%,0%,100%,0%,52%,52%,60%,42%,54%,43%
,65 and up,19%,0%,0%,100%,25%,6%,26%,11%,21%,7%
,,,,,,,,,,,