city,state,2015_murders,2016_murders,change,source,as_of
Chicago,Illinois,378,536,158,https://portal.chicagopolice.org/portal/page/portal/ClearPath/News/Crime%20Statistics,10/2/2016
Orlando,Florida,19,73,54,OPD ,9/22/2016
Memphis,Tennessee,114,158,44,MPD,9/11/2016
Phoenix,Arizona,72,111,39,PPD ,8/31/2016
Las Vegas,Nevada,90,125,35,http://www.lvmpd.com/Sections/Homicide/HomicideLog/tabid/454/Default.aspx,9/28/2016
San Antonio,Texas,78,111,33,SAPD ,9/26/2016
Louisville,Kentucky,52,79,27,https://louisvilleky.gov/government/police/lmpd-transparency,8/31/2016
Dallas,Texas,95,118,23,DPD,8/31/2016
Houston,Texas,191,212,21,http://www.houstontx.gov/police/cs/index-2.htm,8/31/2016
Fort Wayne,Indiana,17,34,17,FWPD ,9/26/2016
Atlanta,Georgia,68,85,17,http://www.atlantapd.org/crimedatadownloads.aspx,9/24/2016
Indianapolis,Indiana,102,117,15,IPD ,10/2/2016
Austin,Texas,13,28,15,http://www.austintexas.gov/page/chiefs-monthly-reports,8/31/2016
Kansas City,Missouri,77,90,13,http://kcmo.gov/police/homicide-3/crime-stats/,10/4/2016
Arlington,Texas,4,17,13,http://www.arlington-tx.gov/police/wp-content/uploads/sites/9/2016/08/UCR-Crime-Summary.pdf,8/31/2016
San Jose,California,22,35,13,http://www.sjpd.org/CrimeStats/updates/Part_One_Crimes_Reported_YTD.pdf?cacheID=20160921,8/31/2016
Albuquerque,New Mexico,35,46,11,APD ,9/21/2016
Jacksonville,Florida,67,78,11,JPSO ,9/21/2016
Santa Ana,California,10,20,10,SAPD ,9/21/2016
Tulsa,Oklahoma,43,52,9,TPD ,9/27/2016
Lincoln,Nebraska,0,9,9,http://www.lincoln.ne.gov/city/police/stats/stats.htm,8/31/2016
Stockton,California,30,38,8,SPD ,9/21/2016
Anchorage,Alaska,19,26,7,APD ,9/27/2016
Buffalo,New York,31,38,7,http://www.bpdny.org/Home/Statistics,9/24/2016
San Diego,California,23,30,7,http://crimestats.arjis.org/default.aspx,8/31/2016
Mobile,Alabama,6,12,6,https://www.mobilepd.org/precinct/pdf/UCR_April_Public.pdf,4/30/2016
Greensboro,North Carolina,15,20,5,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=29678,10/2/2016
Durham,North Carolina,25,30,5,https://durhamnc.gov/ArchiveCenter/ViewFile/Item/2419,10/1/2016
Detroit,Michigan,216,221,5,DPD ,9/25/2016
St. Petersburg,Florida,9,14,5,SPPD ,8/31/2016
Philadelphia,Pennsylvania,209,213,4,https://www.phillypolice.com/crime-maps-stats/,10/4/2016
Long Beach,California,25,29,4,http://homicide.latimes.com/neighborhood/long-beach/year/2016,9/20/2016
Lexington,Kentucky,13,16,3,LPD ,9/28/2016
Aurora,Colorado,13,16,3,APD ,9/21/2016
Jersey City,New Jersey,11,14,3,http://www.njjcpd.org/node/5,8/31/2016
Plano,Texas,2,5,3,http://www.plano.gov/DocumentCenter/View/119,8/31/2016
Colorado Springs,Colorado,12,15,3,http://www.krdo.com/news/local-news/springs-womans-shooting-death-ruled-homicide-/73436432,8/2/2016
Toledo,Ohio,5,8,3,TPD ,6/24/2016
El Paso,Texas,12,14,2,ELPD ,9/21/2016
Laredo,Texas,7,9,2,LPD ,9/21/2016
Nashville,Tennessee,47,49,2,NPD ,9/21/2016
Oklahoma City,Oklahoma,28,30,2,OKCPD ,6/30/2016
Henderson,Nevada,1,3,2,HPD ,4/30/2016
Chandler,Arizona,2,3,1,CPD ,9/21/2016
Denver,Colorado,32,33,1,https://www.denvergov.org/content/dam/denvergov/Portals/720/documents/statistics/2016/UCR_Citywide_Reported_Offenses_2016.pdf,8/31/2016
Riverside,California,6,7,1,http://www.riversideca.gov/rpd/crstats/cstats.asp,8/31/2016
Bakersfield,California,21,22,1,BPD ,6/23/2016
Boston,Massachusetts,28,28,0,BPD ,9/27/2016
Cincinnati,Ohio,50,50,0,http://www.cincinnati-oh.gov/police/crime-statistics/city-wide-stars-report/,9/24/2016
Pittsburgh,Pennsylvania,46,46,0,PPD ,9/21/2016
Columbus,Ohio,71,70,-1,CPD ,9/24/2016
Raleigh,North Carolina,8,7,-1,RPD ,7/17/2016
Corpus Christi,Texas,10,9,-1,CCPD ,6/24/2016
Charlotte-Mecklenburg,North Carolina,27,25,-2,http://charlottenc.gov/CMPD/Safety/Pages/CrimeStats.aspx,6/30/2016
New Orleans,Louisiana,130,127,-3,NOPD ,9/27/2016
San Francisco,California,35,32,-3,SFPD ,9/27/2016
Seattle,Washington,17,14,-3,http://www.seattle.gov/seattle-police-department/crime-data/crime-dashboard,8/31/2016
St. Louis,Missouri,136,133,-3,http://www.slmpd.org/crime_stats.shtml,8/31/2016
Honolulu,Hawaii,12,9,-3,HPD ,6/30/2016
Wichita,Kansas,13,10,-3,MCCA,6/30/2016
Virginia Beach,Virginia,17,13,-4,https://eprodmz.vbgov.com/MainUI/Crimes/CrimeSearch.aspx,9/30/2016
Newark,New Jersey,76,72,-4,http://npd.newarkpublicsafety.org/comstat,9/25/2016
Los Angeles,California,209,205,-4,http://assets.lapdonline.org/assets/pdf/cityprof.pdf,9/17/2016
Chula Vista,California,5,1,-4,http://crimestats.arjis.org/default.aspx,8/31/2016
Portland,Oregon,19,14,-5,PPD ,9/21/2016
Tucson,Arizona,23,18,-5,TPD ,9/21/2016
Anaheim,California,10,4,-6,APD ,6/27/2016
Cleveland,Ohio,96,89,-7,CPD ,9/26/2016
Minneapolis,Minnesota,34,26,-8,http://www.minneapolismn.gov/police/statistics/crime-statistics_codefor_arrests,10/3/2016
Sacramento,California,31,21,-10,SPD ,9/22/2016
Fresno,California,30,19,-11,http://www.fresno.gov/CityOfFresno/Templates/StandardTemplate.aspx?NRMODE=Published&NRNODEGUID=%7bA9D853FB-EBA4-4900-8435-B880D98AE480%7d&NRORIGINALURL=%2fGovernment%2fDepartmentDirectory%2fPolice%2fAboutFresnoPD%2fCrimeReportsandStatistics%2fMonthlyCrimeStatistics%2ehtm&NRCACHEHINT=Guest,7/31/2016
Fort Worth,Texas,61,49,-12,FWPD ,9/27/2016
Oakland,California,65,52,-13,http://www2.oaklandnet.com/government/o/OPD/s/Statistics/index.htm,10/2/2016
Washington,D.C.,119,105,-14,http://mpdc.dc.gov/page/district-crime-data-glance,9/30/2016
New York,New York,266,252,-14,https://compstat.nypdonline.org/,9/25/2016
Omaha,Nebraska,34,20,-14,http://dataomaha.com/homicides,9/5/2016
Miami,Florida,62,45,-17,MPD ,9/21/2016
Baltimore,Maryland,249,230,-19,https://data.baltimorecity.gov/Public-Safety/Summarized-Crime-Data-By-District-Week-26/4nh3-w6zf,10/1/2016
Milwaukee,Wisconsin,105,84,-21,http://itmdapps.milwaukee.gov/publicApplication_SR/policeDistrict/policeDistrictfm.faces,9/28/2016
