movie,type,word,minutes_in
Reservoir Dogs,word,dick,0.40
Reservoir Dogs,word,dicks,0.43
Reservoir Dogs,word,fucked,0.55
Reservoir Dogs,word,fucking,0.61
Reservoir Dogs,word,bullshit,0.61
Reservoir Dogs,word,fuck,0.66
Reservoir Dogs,word,shit,0.90
Reservoir Dogs,word,fuck,1.43
Reservoir Dogs,word,dicks,1.56
Reservoir Dogs,word,fuck,1.66
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dicks,1.75
Reservoir Dogs,word,motherfucker,1.83
Reservoir Dogs,word,dick,1.96
Reservoir Dogs,word,pussy,2.15
Reservoir Dogs,word,fucks,2.18
Reservoir Dogs,word,fuck,2.30
Reservoir Dogs,word,fucking,2.45
Reservoir Dogs,word,hell,2.48
Reservoir Dogs,word,fucking,2.51
Reservoir Dogs,word,fucking,2.81
Reservoir Dogs,word,dick,2.86
Reservoir Dogs,word,jap,2.93
Reservoir Dogs,word,fuck,3.05
Reservoir Dogs,word,shit,3.20
Reservoir Dogs,word,fucking,3.40
Reservoir Dogs,word,fucking,3.55
Reservoir Dogs,word,fucking,3.70
Reservoir Dogs,word,motherfucker,3.93
Reservoir Dogs,word,motherfucker,3.98
Reservoir Dogs,word,shit,4.35
Reservoir Dogs,word,shit,4.76
Reservoir Dogs,word,fucking,4.86
Reservoir Dogs,word,dick,5.25
Reservoir Dogs,word,fucking,5.41
Reservoir Dogs,word,fucking,5.51
Reservoir Dogs,word,fucking,5.55
Reservoir Dogs,word,fucking,5.61
Reservoir Dogs,word,bullshit,6.23
Reservoir Dogs,word,fuck,6.46
Reservoir Dogs,word,fucked,6.58
Reservoir Dogs,word,fucks,6.66
Reservoir Dogs,word,bullshit,6.81
Reservoir Dogs,word,fucking,6.86
Reservoir Dogs,word,fucking,6.73
Reservoir Dogs,word,bastard,7.38
Reservoir Dogs,word,goddamn,7.41
Reservoir Dogs,word,goddamn,7.58
Reservoir Dogs,word,shit,9.63
Reservoir Dogs,word,fucking,9.96
Reservoir Dogs,word,shit,10.01
Reservoir Dogs,word,fucking,10.08
Reservoir Dogs,word,shit,10.26
Reservoir Dogs,word,goddamn,11.13
Reservoir Dogs,word,fucking,11.13
Reservoir Dogs,word,fucking,11.85
Reservoir Dogs,word,fucking,12.06
Reservoir Dogs,word,fucking,12.08
Reservoir Dogs,word,fucking,12.43
Reservoir Dogs,word,fucking,12.45
Reservoir Dogs,word,fucking,12.90
Reservoir Dogs,word,fucking,13.73
Reservoir Dogs,word,fuck,14.38
Reservoir Dogs,word,fucking,14.66
Reservoir Dogs,word,fucking,14.95
Reservoir Dogs,word,fucking,15.38
Reservoir Dogs,word,fucking,15.41
Reservoir Dogs,word,shit,15.45
Reservoir Dogs,word,fuck,15.51
Reservoir Dogs,word,fuck,15.65
Reservoir Dogs,word,fucking,15.75
Reservoir Dogs,word,fucked,15.86
Reservoir Dogs,word,fucked,15.88
Reservoir Dogs,word,fucked,15.93
Reservoir Dogs,word,fuck,16.45
Reservoir Dogs,word,motherfuckers,16.60
Reservoir Dogs,word,fucking,16.65
Reservoir Dogs,word,fuck,16.75
Reservoir Dogs,word,fucking,16.86
Reservoir Dogs,word,fucking,17.56
Reservoir Dogs,word,fuck,17.63
Reservoir Dogs,word,fucking,17.75
Reservoir Dogs,word,fucking,17.95
Reservoir Dogs,word,fucking,18.00
Reservoir Dogs,word,shit,20.13
Reservoir Dogs,word,fucking,20.16
Reservoir Dogs,word,fuck,20.68
Reservoir Dogs,word,fuck,20.73
Reservoir Dogs,word,fuck,20.93
Reservoir Dogs,word,fucking,20.96
Reservoir Dogs,word,asshole,20.98
Reservoir Dogs,word,fuck,21.00
Reservoir Dogs,word,fucking,21.01
Reservoir Dogs,word,fuck,21.20
Reservoir Dogs,word,fucking,22.18
Reservoir Dogs,word,fuck,22.21
Reservoir Dogs,word,motherfucker,22.46
Reservoir Dogs,word,fuck,22.60
Reservoir Dogs,word,goddamn,22.71
Reservoir Dogs,word,ass,22.80
Reservoir Dogs,word,fuck,23.00
Reservoir Dogs,word,fucking,23.20
Reservoir Dogs,word,assholes,23.35
Reservoir Dogs,word,fucking,24.01
Reservoir Dogs,word,fuck,24.05
Reservoir Dogs,word,fucking,24.60
Reservoir Dogs,word,fuck,24.66
Reservoir Dogs,word,fucking,24.76
Reservoir Dogs,word,fucking,25.13
Reservoir Dogs,word,shit,25.35
Reservoir Dogs,word,fuck,25.45
Reservoir Dogs,word,fucking,25.75
Reservoir Dogs,word,bullshit,25.76
Reservoir Dogs,word,fucking,26.01
Reservoir Dogs,word,fucking,26.06
Reservoir Dogs,word,fucking,26.16
Reservoir Dogs,word,fucking,26.26
Reservoir Dogs,word,hell,27.21
Reservoir Dogs,word,shit,28.60
Reservoir Dogs,word,fucking,28.60
Reservoir Dogs,word,fucking,28.83
Reservoir Dogs,word,shit,28.83
Reservoir Dogs,word,shit,29.16
Reservoir Dogs,word,hell,29.18
Reservoir Dogs,word,fucking,31.13
Reservoir Dogs,word,fuck,31.50
Reservoir Dogs,word,fucking,31.60
Reservoir Dogs,word,fuck,31.80
Reservoir Dogs,word,fuck,31.81
Reservoir Dogs,word,fucking,31.88
Reservoir Dogs,word,hell,32.11
Reservoir Dogs,word,fucking,32.43
Reservoir Dogs,word,fuck,32.55
Reservoir Dogs,word,fucking,32.58
Reservoir Dogs,word,shit,32.60
Reservoir Dogs,word,fuck,32.63
Reservoir Dogs,word,fucking,32.70
Reservoir Dogs,word,shit,32.91
Reservoir Dogs,word,asshole,33.76
Reservoir Dogs,word,shit,33.81
Reservoir Dogs,word,fucking,33.90
Reservoir Dogs,word,fucking,34.30
Reservoir Dogs,word,fuck,34.38
Reservoir Dogs,word,fucking,34.46
Reservoir Dogs,word,fucking,34.56
Reservoir Dogs,word,fucking,34.60
Reservoir Dogs,word,fuck,34.71
Reservoir Dogs,word,fucking,34.75
Reservoir Dogs,word,fuck,34.85
Reservoir Dogs,word,asshole,34.98
Reservoir Dogs,word,assholes,35.48
Reservoir Dogs,word,fuck,35.50
Reservoir Dogs,word,fucking,35.60
Reservoir Dogs,word,fucking,35.61
Reservoir Dogs,word,n-word ,35.61
Reservoir Dogs,word,n-word ,35.63
Reservoir Dogs,word,fucking,35.71
Reservoir Dogs,word,fucking,35.83
Reservoir Dogs,word,fuck,35.88
Reservoir Dogs,word,asses,35.95
Reservoir Dogs,word,fuck,36.01
Reservoir Dogs,word,shit,36.06
Reservoir Dogs,word,fucking,36.11
Reservoir Dogs,word,fuck,37.41
Reservoir Dogs,word,fucking,37.48
Reservoir Dogs,word,fuck,37.91
Reservoir Dogs,word,fucking,39.06
Reservoir Dogs,word,asshole,39.06
Reservoir Dogs,word,fucking,39.18
Reservoir Dogs,word,hell,39.46
Reservoir Dogs,word,hell,39.60
Reservoir Dogs,word,bitch,39.88
Reservoir Dogs,word,fucking,40.13
Reservoir Dogs,word,ass,40.15
Reservoir Dogs,word,ass,40.30
Reservoir Dogs,word,fuckup,40.48
Reservoir Dogs,word,shit,40.96
Reservoir Dogs,word,fuck,41.25
Reservoir Dogs,word,bastard,41.30
Reservoir Dogs,word,fuck,41.31
Reservoir Dogs,word,fuck,41.43
Reservoir Dogs,word,fucking,41.75
Reservoir Dogs,word,ass,41.76
Reservoir Dogs,word,bitch,41.85
Reservoir Dogs,word,fucking,41.93
Reservoir Dogs,word,n-word ,41.93
Reservoir Dogs,word,ass,42.00
Reservoir Dogs,word,fucking,42.03
Reservoir Dogs,word,bitch,42.11
Reservoir Dogs,word,bitch,42.13
Reservoir Dogs,word,shit,42.16
Reservoir Dogs,word,fuck,42.55
Reservoir Dogs,word,motherfucker,42.56
Reservoir Dogs,word,fucker,42.60
Reservoir Dogs,word,shitty,42.66
Reservoir Dogs,word,asshead,42.86
Reservoir Dogs,word,fucking,43.06
Reservoir Dogs,word,fucking,43.31
Reservoir Dogs,word,shit,43.35
Reservoir Dogs,word,fuck,42.70
Reservoir Dogs,word,fuck,42.71
Reservoir Dogs,word,shit,43.86
Reservoir Dogs,word,fucking,44.00
Reservoir Dogs,word,shit,44.03
Reservoir Dogs,word,fucked,44.65
Reservoir Dogs,word,fuck,44.90
Reservoir Dogs,word,fucking,45.26
Reservoir Dogs,word,damn,45.40
Reservoir Dogs,word,fucking,46.48
Reservoir Dogs,word,fuck,46.53
Reservoir Dogs,word,fucking,46.65
Reservoir Dogs,word,fucking,46.66
Reservoir Dogs,word,fuck,47.50
Reservoir Dogs,word,fucking,47.51
Reservoir Dogs,word,fucking,47.55
Reservoir Dogs,word,fucking,47.70
Reservoir Dogs,word,fucking,47.71
Reservoir Dogs,word,fucking,47.73
Reservoir Dogs,word,fucking,47.75
Reservoir Dogs,word,fucking,47.80
Reservoir Dogs,word,fucking,47.88
Reservoir Dogs,word,shit,47.98
Reservoir Dogs,word,fucking,48.08
Reservoir Dogs,word,bullshit,48.15
Reservoir Dogs,word,fuck,48.16
Reservoir Dogs,word,fucking,48.25
Reservoir Dogs,word,fucking,48.26
Reservoir Dogs,word,hell,48.31
Reservoir Dogs,word,fucking,48.38
Reservoir Dogs,word,fucking,48.48
Reservoir Dogs,word,assholes,48.48
Reservoir Dogs,word,asshole,48.51
Reservoir Dogs,word,fucking,48.55
Reservoir Dogs,word,fucking,48.56
Reservoir Dogs,word,fucking,48.58
Reservoir Dogs,word,fucking,48.61
Reservoir Dogs,word,fucking,48.78
Reservoir Dogs,word,fucking,48.98
Reservoir Dogs,word,fucking,49.06
Reservoir Dogs,word,fucking,49.15
Reservoir Dogs,word,bastard,49.61
Reservoir Dogs,word,fuck,49.68
Reservoir Dogs,word,fucking,49.70
Reservoir Dogs,word,goddamn,49.75
Reservoir Dogs,word,fucking,49.80
Reservoir Dogs,word,fucking,49.90
Reservoir Dogs,word,fucking,49.98
Reservoir Dogs,word,fucking,50.51
Reservoir Dogs,word,bastard,50.68
Reservoir Dogs,word,fucking,50.76
Reservoir Dogs,word,motherfucker,50.91
Reservoir Dogs,word,fucking,51.08
Reservoir Dogs,word,fucking,51.36
Reservoir Dogs,word,fucking,51.51
Reservoir Dogs,word,fuck,51.88
Reservoir Dogs,word,fucking,51.98
Reservoir Dogs,word,fucking,53.28
Reservoir Dogs,word,shit,53.43
Reservoir Dogs,word,bitch,53.93
Reservoir Dogs,word,bullshit,54.25
Reservoir Dogs,word,fuck,54.30
Reservoir Dogs,word,fuck,56.73
Reservoir Dogs,death,,59.93
Reservoir Dogs,word,shit,61.00
Reservoir Dogs,word,shit,62.15
Reservoir Dogs,word,fuck,62.28
Reservoir Dogs,word,fuck,62.83
Reservoir Dogs,word,fuck,62.91
Reservoir Dogs,word,fucking,62.95
Reservoir Dogs,word,bastard,62.95
Reservoir Dogs,word,fuck,63.15
Reservoir Dogs,word,fucking,63.21
Reservoir Dogs,word,fucking,63.26
Reservoir Dogs,word,fucking,63.30
Reservoir Dogs,word,fuck,63.33
Reservoir Dogs,word,fuck,63.35
Reservoir Dogs,word,fucking,63.38
Reservoir Dogs,word,fucking,62.41
Reservoir Dogs,word,pussy,63.81
Reservoir Dogs,word,fucking,63.91
Reservoir Dogs,word,motherfucker,64.31
Reservoir Dogs,word,ass,64.46
Reservoir Dogs,word,goddamn,64.75
Reservoir Dogs,word,fucking,64.76
Reservoir Dogs,word,motherfucker,65.15
Reservoir Dogs,word,ass,65.65
Reservoir Dogs,word,damned,65.73
Reservoir Dogs,word,motherfucker,65.76
Reservoir Dogs,word,ass,65.76
Reservoir Dogs,word,fucking,66.05
Reservoir Dogs,word,fucking,66.35
Reservoir Dogs,word,fucking,66.36
Reservoir Dogs,word,fucking,66.46
Reservoir Dogs,word,fucking,66.50
Reservoir Dogs,word,ass,66.50
Reservoir Dogs,word,hell,66.96
Reservoir Dogs,word,bullshit,67.03
Reservoir Dogs,word,fucking,67.21
Reservoir Dogs,word,fucking,67.28
Reservoir Dogs,word,shit,67.30
Reservoir Dogs,word,fucking,67.48
Reservoir Dogs,word,shit,67.88
Reservoir Dogs,word,motherfucker,68.01
Reservoir Dogs,word,fucking,68.66
Reservoir Dogs,word,fucking,69.25
Reservoir Dogs,word,fuck,69.28
Reservoir Dogs,word,shit,69.30
Reservoir Dogs,word,bitch,69.31
Reservoir Dogs,word,shit,69.35
Reservoir Dogs,word,ass,69.46
Reservoir Dogs,word,fucking,69.48
Reservoir Dogs,word,fucking,69.51
Reservoir Dogs,word,fucking,69.53
Reservoir Dogs,word,motherfucker,69.61
Reservoir Dogs,word,shit,69.78
Reservoir Dogs,word,fucking,69.86
Reservoir Dogs,word,ass,69.88
Reservoir Dogs,word,fucking,70.06
Reservoir Dogs,word,fucking,71.63
Reservoir Dogs,word,fuck,71.95
Reservoir Dogs,word,fucking,72.16
Reservoir Dogs,word,fucking,72.40
Reservoir Dogs,word,asshole,72.58
Reservoir Dogs,word,fucking,72.61
Reservoir Dogs,word,fucking,72.95
Reservoir Dogs,word,bitch,73.05
Reservoir Dogs,word,fucking,73.28
Reservoir Dogs,word,fucking,73.36
Reservoir Dogs,word,shit,74.01
Reservoir Dogs,word,shit,74.05
Reservoir Dogs,word,bitch,74.40
Reservoir Dogs,word,shit,74.43
Reservoir Dogs,word,motherfucker,74.50
Reservoir Dogs,word,pussy,76.13
Reservoir Dogs,word,shit,76.20
Reservoir Dogs,word,fucking,76.28
Reservoir Dogs,word,fucking,76.30
Reservoir Dogs,word,bitch,77.05
Reservoir Dogs,word,bitch,77.06
Reservoir Dogs,word,fuck,77.13
Reservoir Dogs,word,n-word ,77.25
Reservoir Dogs,word,shit,77.28
Reservoir Dogs,word,n-word ,77.33
Reservoir Dogs,word,ass,77.35
Reservoir Dogs,word,bitches,77.36
Reservoir Dogs,word,fuck,77.40
Reservoir Dogs,word,fucking,78.01
Reservoir Dogs,word,fuck,78.55
Reservoir Dogs,word,fucking,78.60
Reservoir Dogs,word,wetback,78.95
Reservoir Dogs,word,shit,79.10
Reservoir Dogs,word,fucking,79.11
Reservoir Dogs,word,shit,79.36
Reservoir Dogs,word,fucking,79.40
Reservoir Dogs,word,dick,79.48
Reservoir Dogs,word,dick,79.51
Reservoir Dogs,word,fucking,79.83
Reservoir Dogs,word,fuck,80.18
Reservoir Dogs,word,bullshit,80.31
Reservoir Dogs,word,fucking,80.46
Reservoir Dogs,word,hell,80.65
Reservoir Dogs,word,faggot,81.65
Reservoir Dogs,word,shit,82.05
Reservoir Dogs,word,pussy,82.08
Reservoir Dogs,word,goddamn,82.48
Reservoir Dogs,word,fucking,82.50
Reservoir Dogs,word,fucking,82.73
Reservoir Dogs,word,goddamn,82.90
Reservoir Dogs,word,goddamn,82.96
Reservoir Dogs,word,ass,83.86
Reservoir Dogs,word,fucking,84.16
Reservoir Dogs,word,shit,84.16
Reservoir Dogs,word,bitch,84.21
Reservoir Dogs,word,fuck,84.30
Reservoir Dogs,word,fuck,84.40
Reservoir Dogs,word,bitch,84.50
Reservoir Dogs,word,fuck,85.08
Reservoir Dogs,word,fuck,85.28
Reservoir Dogs,word,fucking,85.45
Reservoir Dogs,death,,85.58
Reservoir Dogs,death,,85.58
Reservoir Dogs,death,,85.81
Reservoir Dogs,word,fucking,86.48
Reservoir Dogs,death,,86.55
Reservoir Dogs,word,fucking,86.86
Reservoir Dogs,word,shit,86.91
Reservoir Dogs,word,fucking,86.96
Reservoir Dogs,word,shit,87.06
Reservoir Dogs,word,fuck,87.73
Reservoir Dogs,death,,88.06
Reservoir Dogs,word,hell,88.38
Reservoir Dogs,word,shit,88.45
Reservoir Dogs,word,fucking,88.76
Reservoir Dogs,word,fucking,89.38
Reservoir Dogs,word,fucking,89.45
Reservoir Dogs,word,fucking,89.48
Reservoir Dogs,word,fucking,89.95
Reservoir Dogs,word,hell,90.10
Reservoir Dogs,word,bullshit,90.15
Reservoir Dogs,word,hell,90.30
Reservoir Dogs,word,fuck,90.36
Reservoir Dogs,word,shit,90.40
Reservoir Dogs,word,fucking,90.50
Reservoir Dogs,word,fucking,90.75
Reservoir Dogs,word,shit,90.88
Reservoir Dogs,word,cocksucker,90.91
Reservoir Dogs,word,fucking,91.15
Reservoir Dogs,word,fucking,91.35
Reservoir Dogs,word,fucking,91.48
Reservoir Dogs,word,fucking,91.75
Reservoir Dogs,word,fucking,91.96
Reservoir Dogs,word,fucking,92.01
Reservoir Dogs,word,goddamn,92.05
Reservoir Dogs,word,fucking,92.13
Reservoir Dogs,death,,92.15
Reservoir Dogs,death,,92.15
Reservoir Dogs,word,fucking,94.73
Reservoir Dogs,word,fucking,94.75
Reservoir Dogs,word,fucking,94.83
Reservoir Dogs,word,fucking,94.90
Reservoir Dogs,word,fucking,95.21
Reservoir Dogs,word,fucking,95.33
Reservoir Dogs,word,fucking,95.33
Reservoir Dogs,death,,95.40
Reservoir Dogs,death,,95.40
Pulp Fiction,word,shit,0.52
Pulp Fiction,word,fucking,0.82
Pulp Fiction,word,fuck,1.37
Pulp Fiction,word,fucking,1.62
Pulp Fiction,word,fucking,1.73
Pulp Fiction,word,fucking,1.77
Pulp Fiction,word,fucking,2.18
Pulp Fiction,word,fuck,2.22
Pulp Fiction,word,gook,2.28
Pulp Fiction,word,fuckers,2.28
Pulp Fiction,word,gooks,2.42
Pulp Fiction,word,fucking,2.45
Pulp Fiction,word,fucking,2.47
Pulp Fiction,word,fucking,2.53
Pulp Fiction,word,fuck,2.60
Pulp Fiction,word,fuck,3.52
Pulp Fiction,word,fucking,3.58
Pulp Fiction,word,wetback,3.67
Pulp Fiction,word,fuck,3.70
Pulp Fiction,word,fucking,4.68
Pulp Fiction,word,motherfucking,4.75
Pulp Fiction,word,fucking,7.70
Pulp Fiction,word,shit,7.87
Pulp Fiction,word,fuck,8.25
Pulp Fiction,word,goddamn,8.67
Pulp Fiction,word,fucking,8.72
Pulp Fiction,word,shit,8.72
Pulp Fiction,word,fucking,9.10
Pulp Fiction,word,n-word ,10.08
Pulp Fiction,word,fucked,10.17
Pulp Fiction,word,fuck,10.40
Pulp Fiction,word,ass,10.73
Pulp Fiction,word,n-word ,10.75
Pulp Fiction,word,n-word ,10.85
Pulp Fiction,word,damn,10.98
Pulp Fiction,word,pussy,11.52
Pulp Fiction,word,fucking,11.55
Pulp Fiction,word,bitch,11.60
Pulp Fiction,word,bitch,11.60
Pulp Fiction,word,fucking,11.63
Pulp Fiction,word,fucking,11.68
Pulp Fiction,word,fucking,11.83
Pulp Fiction,word,fucking,11.88
Pulp Fiction,word,shit,11.92
Pulp Fiction,word,fucking,12.03
Pulp Fiction,word,shit,12.07
Pulp Fiction,word,fuck,12.20
Pulp Fiction,word,fuck,12.27
Pulp Fiction,word,motherfucking,12.88
Pulp Fiction,word,fucking,12.90
Pulp Fiction,word,n-word ,12.92
Pulp Fiction,word,shit,12.93
Pulp Fiction,word,motherfucker,12.95
Pulp Fiction,word,shit,12.97
Pulp Fiction,word,ass,12.98
Pulp Fiction,word,motherfucker,13.00
Pulp Fiction,word,fucking,13.23
Pulp Fiction,word,fucking,13.33
Pulp Fiction,word,fucking,13.38
Pulp Fiction,word,fucking,13.43
Pulp Fiction,word,shit,13.47
Pulp Fiction,word,motherfucker,16.78
Pulp Fiction,word,shit,17.40
Pulp Fiction,word,goddamn,17.45
Pulp Fiction,word,ass,18.38
Pulp Fiction,word,shit,18.40
Pulp Fiction,word,fucked,18.62
Pulp Fiction,death,,18.70
Pulp Fiction,word,motherfucker,19.33
Pulp Fiction,word,motherfucker,19.57
Pulp Fiction,word,goddamn,19.58
Pulp Fiction,word,bitch,19.70
Pulp Fiction,word,bitch,19.82
Pulp Fiction,word,fuck,19.85
Pulp Fiction,word,bitch,19.85
Pulp Fiction,word,fuck,19.95
Pulp Fiction,word,fucked,20.00
Pulp Fiction,death,,20.95
Pulp Fiction,word,shit,21.32
Pulp Fiction,word,motherfucker,21.42
Pulp Fiction,word,motherfucking,21.82
Pulp Fiction,word,ass,21.88
Pulp Fiction,word,motherfuckers,22.03
Pulp Fiction,word,motherfuckers,22.08
Pulp Fiction,word,ass,22.10
Pulp Fiction,word,n-word ,23.07
Pulp Fiction,word,fucking,23.47
Pulp Fiction,word,fuck,23.52
Pulp Fiction,word,shit,23.70
Pulp Fiction,word,ass,24.07
Pulp Fiction,word,ass,24.23
Pulp Fiction,word,asses,24.40
Pulp Fiction,word,goddamn,24.45
Pulp Fiction,word,n-word ,24.45
Pulp Fiction,word,fucking,25.08
Pulp Fiction,word,goddamn,25.12
Pulp Fiction,word,fucking,25.17
Pulp Fiction,word,fucking,25.28
Pulp Fiction,word,shit,25.33
Pulp Fiction,word,fucking,25.37
Pulp Fiction,word,asshole,25.42
Pulp Fiction,word,n-word ,25.88
Pulp Fiction,word,ass,25.92
Pulp Fiction,word,shit,27.75
Pulp Fiction,word,fucking,27.78
Pulp Fiction,word,n-word ,27.88
Pulp Fiction,word,shit,27.98
Pulp Fiction,word,shit,27.98
Pulp Fiction,word,shit,28.03
Pulp Fiction,word,shit,28.08
Pulp Fiction,word,fucking,28.10
Pulp Fiction,word,fucking,28.22
Pulp Fiction,word,fucking,28.30
Pulp Fiction,word,shit,28.98
Pulp Fiction,word,fucker,29.43
Pulp Fiction,word,fucking,29.47
Pulp Fiction,word,fucked,29.52
Pulp Fiction,word,dickless,29.63
Pulp Fiction,word,shit,29.65
Pulp Fiction,word,fucked,29.67
Pulp Fiction,word,fucking,29.68
Pulp Fiction,word,asshole,29.82
Pulp Fiction,word,fucker,29.88
Pulp Fiction,word,chickenshit,29.92
Pulp Fiction,word,fucking,29.92
Pulp Fiction,word,fuck,29.97
Pulp Fiction,word,fuck,34.25
Pulp Fiction,word,hell,37.02
Pulp Fiction,word,hell,37.03
Pulp Fiction,word,goddamn,41.05
Pulp Fiction,word,fucking,41.05
Pulp Fiction,word,fucking,41.12
Pulp Fiction,word,bullshit,41.90
Pulp Fiction,word,fuck,42.10
Pulp Fiction,word,goddamn,42.98
Pulp Fiction,word,goddamn,43.00
Pulp Fiction,word,goddamn,43.03
Pulp Fiction,word,fucking,54.58
Pulp Fiction,word,fuck,54.63
Pulp Fiction,word,fuck,54.67
Pulp Fiction,word,fuck,54.68
Pulp Fiction,word,fucking,54.97
Pulp Fiction,word,fuck,55.00
Pulp Fiction,word,fuck,55.48
Pulp Fiction,word,goddamn,55.75
Pulp Fiction,word,fucking,55.83
Pulp Fiction,word,assholes,55.83
Pulp Fiction,word,fucking,55.93
Pulp Fiction,word,asshole,55.93
Pulp Fiction,word,fucking,56.10
Pulp Fiction,word,fucking,56.22
Pulp Fiction,word,fucking,56.28
Pulp Fiction,word,fucked,56.32
Pulp Fiction,word,fucking,56.38
Pulp Fiction,word,fucking,56.45
Pulp Fiction,word,fucking,56.53
Pulp Fiction,word,fucked,56.55
Pulp Fiction,word,fucking,56.55
Pulp Fiction,word,hell,56.92
Pulp Fiction,word,fucking,56.98
Pulp Fiction,word,shit,57.02
Pulp Fiction,word,fuck,57.03
Pulp Fiction,word,fucking,57.05
Pulp Fiction,word,fucked,57.12
Pulp Fiction,word,bitch,57.12
Pulp Fiction,word,fucked,57.17
Pulp Fiction,word,bitch,57.18
Pulp Fiction,word,fucking,57.25
Pulp Fiction,word,fucking,57.38
Pulp Fiction,word,shit,57.45
Pulp Fiction,word,shit,57.57
Pulp Fiction,word,goddamn,57.62
Pulp Fiction,word,fuck,57.63
Pulp Fiction,word,hell,57.82
Pulp Fiction,word,fucking,57.85
Pulp Fiction,word,fuck,57.85
Pulp Fiction,word,fuck,57.87
Pulp Fiction,word,fucking,57.88
Pulp Fiction,word,bitch,57.90
Pulp Fiction,word,fuck,57.98
Pulp Fiction,word,fucking,58.15
Pulp Fiction,word,fucking,58.48
Pulp Fiction,word,fuck,58.87
Pulp Fiction,word,fucking,58.88
Pulp Fiction,word,fucking,59.05
Pulp Fiction,word,fucking,59.27
Pulp Fiction,word,fuck,59.32
Pulp Fiction,word,bitch,59.65
Pulp Fiction,word,fucking,59.97
Pulp Fiction,word,fucking,60.15
Pulp Fiction,word,fucking,60.93
Pulp Fiction,word,hell,64.47
Pulp Fiction,word,gooks,67.33
Pulp Fiction,word,damned,67.50
Pulp Fiction,word,slope,67.50
Pulp Fiction,word,ass,67.60
Pulp Fiction,word,ass,67.67
Pulp Fiction,word,ass,67.78
Pulp Fiction,word,ass,70.30
Pulp Fiction,word,ass,70.38
Pulp Fiction,word,goddamn,70.40
Pulp Fiction,word,motherfucker,70.50
Pulp Fiction,word,n-word ,70.55
Pulp Fiction,word,ass,70.60
Pulp Fiction,word,shit,72.98
Pulp Fiction,word,fuck,73.78
Pulp Fiction,word,fuck,73.92
Pulp Fiction,word,fucking,74.02
Pulp Fiction,word,fuck,74.12
Pulp Fiction,word,fuck,74.45
Pulp Fiction,word,goddamn,74.72
Pulp Fiction,word,damn,77.47
Pulp Fiction,word,fuckhead,80.70
