server,seconds_before_next_point,day,opponent,game_score,set,game
Nicolas Almagro,22,28-May-15,Rafael Nadal,15-30,1,0-0
Nicolas Almagro,19,28-May-15,Rafael Nadal,15-40,1,0-0
Nicolas Almagro,23,28-May-15,Rafael Nadal,30-40,1,0-0
Nicolas Almagro,24,28-May-15,Rafael Nadal,Deuce,1,0-0
Nicolas Almagro,19,28-May-15,Rafael Nadal,Ad-in,1,0-0
Pablo Andujar,34,28-May-15,Philipp Kohlschreiber,40-30,5,2-4
Bernard Tomic,21,28-May-15,Thanasi Kokkinakis,30-40,3,0-1
Bernard Tomic,17,28-May-15,Thanasi Kokkinakis,Deuce,3,0-1
Bernard Tomic,17,28-May-15,Thanasi Kokkinakis,Ad-in,3,0-1
Rafael Nadal,34,28-May-15,Nicolas Almagro,15-30,1,0-1
Rafael Nadal,29,28-May-15,Nicolas Almagro,30-30,1,0-1
Rafael Nadal,33,28-May-15,Nicolas Almagro,30-40,1,0-1
Rafael Nadal,23,28-May-15,Nicolas Almagro,Deuce,1,0-1
Rafael Nadal,27,28-May-15,Nicolas Almagro,Ad-in,1,0-1
Pablo Andujar,26,28-May-15,Philipp Kohlschreiber,15-30,5,4-4
Pablo Andujar,24,28-May-15,Philipp Kohlschreiber,30-30,5,4-4
Pablo Andujar,32,28-May-15,Philipp Kohlschreiber,40-30,5,4-4
Bernard Tomic,21,28-May-15,Thanasi Kokkinakis,15-40,3,1-2
Bernard Tomic,15,28-May-15,Thanasi Kokkinakis,30-40,3,1-2
Bernard Tomic,18,28-May-15,Thanasi Kokkinakis,Deuce,3,1-2
Bernard Tomic,37,28-May-15,Thanasi Kokkinakis,Ad-out,3,1-2
Pablo Andujar,38,28-May-15,Philipp Kohlschreiber,Deuce,5,4-4
Pablo Andujar,31,28-May-15,Philipp Kohlschreiber,Ad-in,5,4-4
Nicolas Almagro,22,28-May-15,Rafael Nadal,15-0,1,1-3
Nicolas Almagro,24,28-May-15,Rafael Nadal,30-0,1,1-3
Nicolas Almagro,22,28-May-15,Rafael Nadal,40-0,1,1-3
Nicolas Almagro,20,28-May-15,Rafael Nadal,30-40,2,3-5
Andrey Kuznetsov,16,28-May-15,Jurgen Melzer,15-0,3,2-2
Andrey Kuznetsov,19,28-May-15,Jurgen Melzer,30-0,3,2-2
Andrey Kuznetsov,20,28-May-15,Jurgen Melzer,30-15,3,2-2
Andrey Kuznetsov,15,28-May-15,Jurgen Melzer,40-15,3,2-2
Rafael Nadal,27,28-May-15,Nicolas Almagro,40-0,3,5-1
Andy Murray,29,28-May-15,Joao Sousa,30-0,1,2-1
Andy Murray,20,28-May-15,Joao Sousa,40-0,1,2-1
Borna Coric,28,28-May-15,Tommy Robredo,Ad-out,1,5-4
Borna Coric,25,28-May-15,Tommy Robredo,Deuce,1,5-4
Borna Coric,29,28-May-15,Tommy Robredo,Ad-out,1,5-4
Andy Murray,18,28-May-15,Joao Sousa,40-0,3,0-1
Andy Murray,20,28-May-15,Joao Sousa,40-15,3,0-1
Andy Murray,23,28-May-15,Joao Sousa,40-30,3,0-1
Andy Murray,22,28-May-15,Joao Sousa,Deuce,3,0-1
Novak Djokovic,16,28-May-15,Gilles Muller,15-0,3,2-1
Novak Djokovic,13,28-May-15,Gilles Muller,30-0,3,2-1
Novak Djokovic,14,28-May-15,Gilles Muller,40-0,3,2-1
Novak Djokovic,21,28-May-15,Gilles Muller,40-15,3,2-1
Borna Coric,36,28-May-15,Tommy Robredo,0-30,3,2-2
Borna Coric,21,28-May-15,Tommy Robredo,15-30,3,2-2
Borna Coric,22,28-May-15,Tommy Robredo,30-30,3,2-2
John Isner,27,28-May-15,Jeremy Chardy,40-30,2,4-3
Andy Murray,30,28-May-15,Joao Sousa,30-40,3,1-2
Andy Murray,24,28-May-15,Joao Sousa,Deuce,3,1-2
Andy Murray,30,28-May-15,Joao Sousa,Ad-out,3,1-2
Andy Murray,21,28-May-15,Joao Sousa,Deuce,3,1-2
John Isner,22,28-May-15,Jeremy Chardy,40-0,2,5-4
Borna Coric,26,28-May-15,Tommy Robredo,0-30,3,4-2
Carlos Berlocq,34,28-May-15,Richard Gasquet,15-30,2,0-1
Carlos Berlocq,28,28-May-15,Richard Gasquet,15-40,2,0-1
Daniel Gimeno Traver,15,28-May-15,David Ferrer,40-0,2,1-3
Daniel Gimeno Traver,17,28-May-15,David Ferrer,0-15,2,2-4
Daniel Gimeno Traver,26,28-May-15,David Ferrer,0-30,2,2-4
Daniel Gimeno Traver,27,28-May-15,David Ferrer,15-30,2,2-4
Daniel Gimeno Traver,27,28-May-15,David Ferrer,15-40,2,2-4
Daniel Gimeno Traver,15,28-May-15,David Ferrer,30-40,2,2-4
Carlos Berlocq,20,28-May-15,Richard Gasquet,15-15,3,0-0
Carlos Berlocq,30,28-May-15,Richard Gasquet,15-30,3,0-0
Carlos Berlocq,28,28-May-15,Richard Gasquet,15-40,3,0-0
Carlos Berlocq,28,29-May-15,Richard Gasquet,30-30,5,0-3
Carlos Berlocq,31,29-May-15,Richard Gasquet,40-30,5,0-3
Lukas Rosol,15,29-May-15,Teymuraz Gabashvili,15-0,3,3-5
Lukas Rosol,16,29-May-15,Teymuraz Gabashvili,15-15,3,3-5
Lukas Rosol,15,29-May-15,Teymuraz Gabashvili,30-15,3,3-5
Lukas Rosol,22,29-May-15,Teymuraz Gabashvili,30-30,3,3-5
Lukas Rosol,26,29-May-15,Teymuraz Gabashvili,30-40,3,3-5
Lukas Rosol,13,29-May-15,Teymuraz Gabashvili,Deuce,3,3-5
Lukas Rosol,14,29-May-15,Teymuraz Gabashvili,Ad-in,3,3-5
Carlos Berlocq,32,29-May-15,Richard Gasquet,15-40,5,1-4
Roger Federer,15,29-May-15,Damir Dzumhur,15-15,2,5-2
Roger Federer,15,29-May-15,Damir Dzumhur,30-15,2,5-2
Roger Federer,14,29-May-15,Damir Dzumhur,30-30,2,5-2
Roger Federer,22,29-May-15,Damir Dzumhur,30-40,2,5-2
Roger Federer,17,29-May-15,Damir Dzumhur,Deuce,2,5-2
Roger Federer,13,29-May-15,Damir Dzumhur,Ad-in,2,5-2
Roger Federer,17,29-May-15,Damir Dzumhur,Deuce,2,5-2
Roger Federer,18,29-May-15,Damir Dzumhur,Ad-out,2,5-2
Roger Federer,15,29-May-15,Damir Dzumhur,0-15,3,3-1
Roger Federer,15,29-May-15,Damir Dzumhur,15-15,3,3-1
Roger Federer,18,29-May-15,Damir Dzumhur,15-30,3,3-1
Roger Federer,17,29-May-15,Damir Dzumhur,30-30,3,3-1
Roger Federer,12,29-May-15,Damir Dzumhur,40-30,3,3-1
Roger Federer,13,29-May-15,Damir Dzumhur,30-15,3,4-2
Roger Federer,16,29-May-15,Damir Dzumhur,40-15,3,4-2
Roger Federer,23,29-May-15,Damir Dzumhur,40-30,3,4-2
Benoit Paire,14,29-May-15,Tomas Berdych,30-0,1,0-5
Benoit Paire,12,29-May-15,Tomas Berdych,30-15,1,0-5
Benoit Paire,11,29-May-15,Tomas Berdych,40-15,1,0-5
Benoit Paire,19,29-May-15,Tomas Berdych,40-30,1,0-5
Benoit Paire,12,29-May-15,Tomas Berdych,Deuce,1,0-5
Benoit Paire,16,29-May-15,Tomas Berdych,Ad-in,1,0-5
Benoit Paire,12,29-May-15,Tomas Berdych,30-15,2,0-0
Benoit Paire,16,29-May-15,Tomas Berdych,40-15,2,0-0
Benoit Paire,17,29-May-15,Tomas Berdych,40-30,2,0-0
Nick Kyrgios,9,30-May-15,Andy Murray,0-15,3,2-2
Nick Kyrgios,16,30-May-15,Andy Murray,15-15,3,2-2
Nick Kyrgios,15,30-May-15,Andy Murray,15-30,3,2-2
Nick Kyrgios,22,30-May-15,Andy Murray,30-30,3,2-2
Nick Kyrgios,19,30-May-15,Andy Murray,40-30,3,2-2
Nick Kyrgios,14,30-May-15,Andy Murray,0-40,3,3-3
Nick Kyrgios,23,30-May-15,Andy Murray,15-40,3,3-3
Nick Kyrgios,11,30-May-15,Andy Murray,15-15,3,3-3
Nick Kyrgios,9,30-May-15,Andy Murray,15-30,3,3-3
Nick Kyrgios,14,30-May-15,Andy Murray,30-30,3,3-3
Nick Kyrgios,11,30-May-15,Andy Murray,40-30,3,3-3
Nick Kyrgios,9,30-May-15,Andy Murray,Deuce,3,3-3
Nick Kyrgios,14,30-May-15,Andy Murray,Ad-in,3,3-3
Nick Kyrgios,13,30-May-15,Andy Murray,Deuce,3,3-3
Nick Kyrgios,13,30-May-15,Andy Murray,Ad-out,3,3-3
Nick Kyrgios,9,30-May-15,Andy Murray,Deuce,3,3-3
Nick Kyrgios,12,30-May-15,Andy Murray,Ad-in,3,3-3
Nick Kyrgios,24,30-May-15,Andy Murray,Deuce,3,3-3
Nick Kyrgios,12,30-May-15,Andy Murray,Ad-out,3,3-3
